transaction_id,user_id,timestamp,amount,transaction_type,recipient_id,recipient_account_age_days,sender_state,device_id,is_new_device,sim_change_flag,kyc_tier,sender_account_age_days,sender_avg_txn_30d,txn_count_last_1h,txn_count_last_24h,time_since_last_txn_min,is_fraud,fraud_type
T6bdb6e4c22,U01064,2026-01-01 00:12:33,4674.97,AIRTIME_TOPUP,U01043,1206,Rivers,DEV-d741f860,0,0,1,130,4274.32,1,1,1471.5890053586277,0,NONE
T34a18afdd3,U00293,2026-01-01 00:51:16,1146.37,AIRTIME_TOPUP,U01072,37,Ogun,DEV-9e95f8fe,0,0,2,2,1203.36,0,3,2435.295779412034,0,NONE
T8631410ed7,U01684,2026-01-01 01:08:31,2713.12,P2P_TRANSFER,U00930,1850,Abuja (FCT),DEV-f2348d9f,0,0,2,632,1032.8,0,6,661.4156110050668,0,NONE
Tcaebbc5265,U00729,2026-01-01 01:29:21,5739.9,P2P_TRANSFER,U00349,1697,Delta,DEV-1df6e2d0,0,0,2,648,3666.06,1,2,1961.4056348404074,0,NONE
T06da2af8be,U01969,2026-01-01 01:34:12,9198.98,P2P_TRANSFER,U01796,733,Kaduna,DEV-44b1da28,0,0,1,14,8669.37,0,1,7.369921682255535,0,NONE
T48a83cc95e,U00087,2026-01-01 01:44:21,6478.58,MERCHANT_PAYMENT,U01014,1082,Kaduna,DEV-ebf49238,0,0,1,186,3659.55,0,2,1178.3740857359273,0,NONE
Tfd52278f38,U01829,2026-01-01 02:04:10,12441.15,BILL_PAYMENT,U01408,482,Abuja (FCT),DEV-91760d8a,0,0,3,160,9648.86,0,2,330.38871274283355,0,NONE
T0fc24a4244,U01609,2026-01-01 02:27:15,1880.08,AIRTIME_TOPUP,U01457,1307,Delta,DEV-51fb8d47,0,0,3,1274,3961.89,0,1,806.899037592254,0,NONE
T5d807ea387,U01678,2026-01-01 02:41:26,1417.31,AIRTIME_TOPUP,U01131,46,Kaduna,DEV-203cdcb0,0,0,1,1117,2840.7,0,3,1133.722416888113,0,NONE
Tf0f62349de,U01196,2026-01-01 02:41:46,883.62,P2P_TRANSFER,U00915,1284,Delta,DEV-903cd1d1,0,0,2,1154,1715.21,1,2,2513.9634260622943,0,NONE
T25d3cdeefc,U01361,2026-01-01 02:43:29,4761.17,P2P_TRANSFER,U00703,730,Edo,DEV-481222aa,0,0,2,1386,3602.41,0,1,1101.5382112902541,0,NONE
T439007b9f6,U00331,2026-01-01 03:03:24,5642.36,BILL_PAYMENT,U00116,156,Lagos,DEV-ac938044,0,0,1,629,2921.63,0,4,369.01538860546145,0,NONE
T67a22d3af0,U01793,2026-01-01 03:20:14,2167.3,MERCHANT_PAYMENT,U01929,307,Enugu,DEV-367f3f5e,0,0,1,1145,6504.62,2,4,274.8404516377392,0,NONE
T2f312714a2,U00899,2026-01-01 03:55:02,1200.44,MERCHANT_PAYMENT,U01166,611,Cross River,DEV-d3cf2124,0,0,2,1127,1290.77,0,0,663.2390906365916,0,NONE
Te377776be5,U00808,2026-01-01 03:56:40,10164.66,BILL_PAYMENT,U01816,810,Oyo,DEV-3a65dbb1,0,0,3,487,11715.33,0,3,1002.4514023299154,0,NONE
T81e1d09f3e,U00149,2026-01-01 04:26:11,13087.26,P2P_TRANSFER,U00107,454,Delta,DEV-75e56c79,0,0,1,1404,18644.57,0,2,3410.4537848825057,0,NONE
Tc60279b2f7,U01902,2026-01-01 04:38:25,3359.72,P2P_TRANSFER,U00980,1891,Ondo,DEV-7b040fc0,0,0,2,1019,5381.98,0,2,342.7951109755915,0,NONE
T51477761a5,U01815,2026-01-01 04:39:12,4967.6,BILL_PAYMENT,U01982,1862,Rivers,DEV-795b1f0f,1,0,1,546,2501.89,0,1,923.0883379242185,0,NONE
T3078d16f4d,U01427,2026-01-01 04:45:04,11459.32,MERCHANT_PAYMENT,U00700,1658,Kano,DEV-551cb5ee,0,0,1,1496,7345.29,1,0,1406.4745630523014,0,NONE
Ta301983f31,U01606,2026-01-01 04:58:27,7101.84,P2P_TRANSFER,U00559,765,Enugu,DEV-0f1beed9,0,0,2,662,11907.41,0,1,165.31884635890464,0,NONE
T0b65a96c87,U00199,2026-01-01 05:08:34,3028.25,P2P_TRANSFER,U01098,1283,Kano,DEV-262dcedb,0,1,1,780,2283.85,0,6,64.18992084626586,0,NONE
T3ddfaafbca,U00184,2026-01-01 05:09:15,10302.06,P2P_TRANSFER,U01661,160,Delta,DEV-5e2954bb,0,1,1,693,6727.09,0,1,605.9708070574783,0,NONE
T4e43752259,U00871,2026-01-01 05:16:20,6509.57,AIRTIME_TOPUP,U00306,364,Ondo,DEV-7335ae08,0,0,1,897,5511.69,0,0,413.2619640689693,0,NONE
T9b10cf526b,U01412,2026-01-01 05:25:09,8405.56,MERCHANT_PAYMENT,U00859,596,Oyo,DEV-6c347b3f,0,0,2,783,4996.81,0,2,347.29020053142324,0,NONE
Taff43cc620,U00956,2026-01-01 05:38:07,2339.69,BILL_PAYMENT,U00803,1511,Oyo,DEV-b88d6e3d,0,0,2,1363,3579.44,1,0,1664.991386453992,0,NONE
Tc55bab692a,U01546,2026-01-01 05:40:42,9637.22,P2P_TRANSFER,U00018,586,Anambra,DEV-d903fe92,0,0,1,819,6252.81,0,1,138.5636737993574,0,NONE
T10f1788fbc,U00997,2026-01-01 05:50:36,2914.04,P2P_TRANSFER,U01416,1326,Delta,DEV-265d81e5,0,0,2,146,4276.33,0,2,250.32519858342988,0,NONE
